"x","y"
0,55.0967606576029
0.1,47.1675546842474
0.2,57.148879998341
0.3,62.1890573115057
0.4,60.2701378478654
0.5,49.7124125588098
0.6,49.9565361587443
0.7,52.7514120056671
0.8,51.5260544082101
0.9,62.7108497831396
1,54.5368314015096
1.1,51.5952345758896
1.2,57.8388122323627
1.3,55.519219445539
1.4,51.4006455819479
1.5,71.0566971838514
1.6,64.2358309149081
1.7,60.3150389543595
1.8,63.7915637014396
1.9,60.7704634839572
2,62.3680592282466
2.1,65.8187165366816
2.2,62.1369171099933
2.3,63.8747627696565
2.4,70.4154672059772
2.5,70.1697623575549
2.6,70.3743344890946
2.7,66.0929553490717
2.8,78.3658660603794
2.9,67.5471196835177
3,63.4173189912668
3.1,68.0849623475469
3.2,65.1389075174898
3.3,66.7757031178335
3.4,61.6692959326904
3.5,81.3716438840983
3.6,79.4668781258224
3.7,74.688187668646
3.8,70.7517106886885
3.9,82.2356169774274
4,77.7438036493632
4.1,76.6363389671688
4.2,87.8914923066358
4.3,76.7901314946863
4.4,76.4704929123899
4.5,77.0375630103003
4.6,80.5311278152053
4.7,75.4862508701521
4.8,90.8979609775226
4.9,78.9700456862353
5,83.2736097691441
5.1,82.9518836885765
5.2,80.5751317273459
5.3,87.1843098653167
5.4,84.9332806244503
5.5,83.8406723310153
5.6,85.1139957676244
5.7,81.6750513467535
5.8,82.6861244929281
5.9,93.1250808069089
6,86.9620216138764
6.1,91.8204544380219
6.2,86.9450286400858
6.3,82.194869966218
6.4,90.3777306348974
6.5,95.3200843136782
6.6,94.604676366749
6.7,94.1046044798148
6.8,94.2214535652855
6.9,99.8343166004071
7,92.4903139188806
7.1,103.092780634019
7.2,86.5711574123631
7.3,95.0882959657721
7.4,97.0111841071777
7.5,104.437278021713
7.6,101.724181921118
7.7,99.2427492759377
7.8,104.146753133054
7.9,105.110671475125
8,102.394817776833
8.1,110.469804113741
8.2,106.086521084559
8.3,102.599584765787
8.4,102.802485907491
8.5,102.553024330504
8.6,106.227704388616
8.7,109.533578857436
8.8,103.535387575941
8.9,108.140790796784
9,107.498023917995
9.1,103.291376456629
9.2,114.748946220837
9.3,109.861880622821
9.4,113.270181138553
9.5,106.717527853402
9.6,109.841850259799
9.7,119.609681336598
9.8,107.648344269424
9.9,113.701377502176
10,109.457698637229
10.1,112.139396057284
10.2,115.041834439649
10.3,119.347519133096
10.4,109.533889398158
10.5,114.439118714226
10.6,120.830734838268
10.7,119.68259512555
10.8,114.973806443866
10.9,125.302550867823
11,123.101612168119
11.1,122.917932501329
11.2,124.420233098011
11.3,121.691011970789
11.4,124.38518332519
11.5,129.492369469078
11.6,125.73141230652
11.7,127.163177083282
11.8,131.467929761437
11.9,128.602712184991
12,123.959917501527
