"x","y"
1,14.3878923425136
1.01,21.131288933936
1.02,14.2455980157362
1.03,14.9343047204948
1.04,20.2162676165374
1.05,24.0191450114379
1.06,19.5107503685147
1.07,12.4997598000235
1.08,17.0095574478464
1.09,16.300052533854
1.1,15.6793927096169
1.11,19.8520214747488
1.12,18.7679174864899
1.13,13.3004877054317
1.14,33.7667231480962
1.15,30.9628312079058
1.16,24.9873084011585
1.17,16.3838971208901
1.18,18.3486359364901
1.19,29.1540812252744
1.2,13.7605803991343
1.21,20.6533110294978
1.22,21.4017869928952
1.23,19.7175842137767
1.24,22.9467184688253
1.25,31.5080790568766
1.26,30.0786653328421
1.27,21.9696808372459
1.28,33.8635064464496
1.29,25.9304840385794
1.3,22.5310628183954
1.31,38.9353944929102
1.32,26.456407369357
1.33,24.7043254060463
1.34,41.2237752717651
1.35,33.0969336648093
1.36,28.7463689834435
1.37,28.6666339833475
1.38,32.4182771133325
1.39,25.9961325119979
1.4,37.2656167775581
1.41,27.91913354048
1.42,24.1724689877196
1.43,36.3454595631756
1.44,34.4110426298779
1.45,48.5931638178963
1.46,36.9984969083778
1.47,44.2579348351645
1.48,43.804352795263
1.49,41.1344236427297
1.5,45.4416007513004
1.51,30.7336240154319
1.52,41.9540161532637
1.53,42.1580925166941
1.54,44.5783002003352
1.55,43.2960206888444
1.56,47.1647344616352
1.57,56.1341447399693
1.58,48.9551350756559
1.59,41.4380074718231
1.6,49.1262037308989
1.61,54.5555293905358
1.62,47.544749624316
1.63,49.590078882882
1.64,50.4900767087743
1.65,60.9366189451058
1.66,62.4087458753878
1.67,66.3035354954902
1.68,61.1691205578335
1.69,59.5134839657892
1.7,57.764014476225
1.71,60.7877296373923
1.72,64.8434696767154
1.73,67.6633428604816
1.74,66.4279503050821
1.75,70.6287818523219
1.76,61.2129234493825
1.77,81.5767919936278
1.78,76.0541055979542
1.79,73.7478172174876
1.8,82.0416183890375
1.81,64.7491499235792
1.82,70.5000999105476
1.83,80.9321572015275
1.84,80.79002680262
1.85,76.5534604954586
1.86,83.3320755815895
1.87,88.5415744766618
1.88,83.7428800081344
1.89,79.1863592671973
1.9,90.1029591117017
1.91,91.9980607169475
1.92,96.1734523117375
1.93,104.93893525709
1.94,101.377895048502
1.95,96.7539700301001
1.96,108.313796980066
1.97,104.794943504291
1.98,97.7788546246246
1.99,107.332433576998
2,104.057281390345
